标题,地址,户型,面积,朝向,装修情况,层数,建造时间,楼型,总价,每平米单价,关注人数,带看次数,发布时间,标签,详情链接,房源标签,核心卖点,小区介绍,周边配套,交通出行,税费解析,权属抵押,上次交易,挂牌时间,交易权属,房屋用途,房屋年限,产权所属,抵押信息,交易属性,户型分间,解析状态
东南向 阳光充足 使用率高 满五唯一 无抵押,"福安雅园 , 观澜",3室2厅,89.34平米,东南,精装,低楼层(共34层),2015年,,258 万,28879 元,2,,,VR看装修,https://sz.lianjia.com/ershoufang/105119568261.html,VR看装修,东南向 阳光充足 使用率高 满五唯一 无抵押 中低楼层 低燥音,深圳标杆安居房大社区，14栋AB单元，目前居住人口上万，绿化专人管理，儿童游乐场，老人建身器材，篮球场，羽毛球场。,,大社区14栋分ABC区，东往福田会展公交站半小时，2刻钟上高速3个红绿灯，西公交站50米往公明，龙华，南向丰盛公交总站接轨4号线长湖地铁站，下楼20米。交通便利。,,,暂无数据,2025-02-04,商品房,普通住宅,暂无数据,非共有,有抵押,挂牌时间:2025-02-04 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 | 房本备件:未上传房本照片,客厅 / 25.16平米 / 无 / 无窗 ; 卧室A / 9.25平米 / 无 / 未知窗户类型 ; 卧室B / 9.43平米 / 无 / 未知窗户类型 ; 卧室C / 11.62平米 / 无 / 未知窗户类型 ; 厨房 / 3.99平米 / 无 / 无窗 ; 卫生间 / 3.15平米 / 无 / 无窗 ; 阳台A / 2.02平米 / 无 / 无窗 ; 阳台B / 4.3平米 / 无 / 无窗 ; 过道 / 2.18平米 / 无 / 无窗,
仁山别墅 满五年唯一 诚意出售 位置安静 精装修,"城建仁山智水花园一期 , 观澜",10室2厅,216.37平米,南,,低楼层(共1层),2015年,板楼,2690 万,124325 元,0,,,VR房源,https://sz.lianjia.com/ershoufang/105120964002.html,VR房源,此房满五年唯一 诚意出售 位置安静 精装修,仁山智水由深圳市城市建设开发公司开发，小区占地近20平，总建筑面积为557584.63㎡，住宅282053.6㎡，商铺5860㎡，幼儿园3500.08㎡，建筑主体包括95栋住宅楼，其中有83栋低多层住宅及8栋高层和4栋高层，住宅共1445户，车位3158个,龙华医院（4600米百度地图测距龙华综合医院在建中3100米百度地图测距新科技园社区健康服务购物商场楼下佳又惠百货医院天虹（2400米百度地图测距,公交（观澜高新园站）M517、M264、313、E4路等，出小区约100有轨电车站台（电车接驳地铁4号线清湖地铁口），高速公路：机荷高速公路、梅观高速公路，交通方便。以后规划的有22号地铁线可看规划图,,,暂无数据,2025-06-04,商品房,普通住宅,暂无数据,共有,有抵押 700万元,挂牌时间:2025-06-04 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:共有 | 抵押信息:有抵押 700万元 | 房本备件:未上传房本照片,,
招商观园别墅区 奢装三房两厅复式 大百平米花园露台,"招商观园 , 观澜",3室2厅,85.22平米,东南,精装,低楼层(共3层),2012年,塔楼,650 万,76274 元,344,,,VR房源 | 房本满五年,https://sz.lianjia.com/ershoufang/105110620043.html,VR房源 | 房本满五年,此房居家奢装，次新房，多层结构顶复 带百平米露台花园,招商观园位于龙华区观澜街道环观南路北侧(观澜高新科技园站旁），是由深圳招商房地产有限公司规划、开发的小区，规划面积147595平方米，建筑面积222221平方米，小区由别墅 多层 小高层组成，容 积率1.5，居住舒适,医疗：龙华中 心医院（4600米百度地图测距），龙华综合医院（在建中3100米百度地图测距），新科技园社区健康服务中 心。购物：宝 地利商场（楼下），佳又惠百货医院，天虹（2400米百度地图测距）,公交线路：公交（观澜高新园站）M567、M264、313、E4路等，出小区约100米 有轨电车站台（电车接驳地铁4号线清湖地铁口），高速公路：机荷高速公路、梅观高速公路，交通方便。,,,2019-08-21,2022-05-28,商品房,普通住宅,满五年,共有,有抵押 250万元 客户偿还,挂牌时间:2022-05-28 | 交易权属:商品房 | 上次交易:2019-08-21 | 房屋用途:普通住宅 | 房屋年限:满五年 | 产权所属:共有 | 抵押信息:有抵押 250万元 客户偿还 | 房本备件:已上传房本照片,客厅 / 30.23平米 / 无 / 无窗 ; 卧室A / 12.86平米 / 东北 / 落地窗 ; 卧室B / 23.14平米 / 东北 / 落地窗 ; 卧室C / 21.5平米 / 西南 / 落地窗 ; 厨房 / 20.01平米 / 无 / 普通窗 ; 卫生间A / 4.6平米 / 无 / 无窗 ; 卫生间B / 4.47平米 / 无 / 无窗 ; 露台 / 17.15平米 / 东北 东南 / 普通窗 ; 露台A / 76.12平米 / 无 / 普通窗 ; 楼梯间 / 5.96平米 / 无 / 无窗 ; 衣帽间A / 3.8平米 / 无 / 无窗 ; 衣帽间B / 8.33平米 / 西南 / 普通窗,
招商澜园 方正大五房 高楼层视野开阔 看湿地公园,"招商澜园 , 观澜",1室1厅,63.26平米,东南,,高楼层(共17层),2010年,板塔结合,288 万,45527 元,2,,,近地铁 | VR房源 | 房本满五年,https://sz.lianjia.com/ershoufang/105117805902.html,地铁 | VR房源 | 房本满五年,满五税少 业主自住装修保养好 诚心出售,招商澜园位于深圳市宝安区观澜街道大和路与环观南路交汇处，地处政府规划发展的观澜新中间区，并成为深圳新的城市象征。低密度的大型高尚社区，小区拥有1500㎡会所、约6000㎡花园、泳池、自带幼儿园：小蜜蜂幼儿园 后面湿地公园,公建配套：观澜街道办 休闲区域：新世纪广场、观澜文化广场， 商场：设施天虹商场、比邻新天地，观澜河湿地公园距离小区近在咫尺。龙华区政府距离小区2公里，属于新区政府辐射范围内。项目：现聚集多家大品牌开发商在此拿地。,小区门口就有公交站，途径的公交线众多，有轨电车在小区门口文澜站，直接到达清湖地铁口，竹村地铁口 800米，观澜大桥直接可以上机荷高速，多条公交线路到达罗湖，福田,,,2011-08-15,2024-08-02,商品房,普通住宅,满五年,非共有,有抵押,挂牌时间:2024-08-02 | 交易权属:商品房 | 上次交易:2011-08-15 | 房屋用途:普通住宅 | 房屋年限:满五年 | 产权所属:非共有 | 抵押信息:有抵押 | 房本备件:已上传房本照片,客厅 / 29.97平米 / 东南 / 落地窗 ; 卧室 / 9.67平米 / 东南 / 落地窗 ; 卫生间 / 3.77平米 / 东南 / 普通窗 ; 阳台 / 9.18平米 / 东 东南 / 落地窗 ; 门厅 / 6.36平米 / 东南 / 落地窗,
业主诚心出售，89四房两卫，户型方正使用率高,"阳基御龙山 , 观澜",4室2厅,88.98平米,南,精装,31层,2017年,板塔结合,385 万,43269 元,0,,,VR房源,https://sz.lianjia.com/ershoufang/105114792153.html,VR房源,此房89做了四房，户型是很方正的，业主诚心出售,阳基御龙山位于福城办事处福前路南侧，为山水资源同享的高品质纯居项目，共922户，1、2、3、5栋为住宅,配套齐全，有比邻新天地、天虹商圈，观澜湖新城，购物、休闲、娱乐一应俱全；同时项目自带社区，生活便利,小区门口左转就是公交车站，悦兴围村口：b766路;m225路;m285路;m337路;m464路 距离港铁4号线延长线长湖站距离大概800米 日常交通出行方便,,,暂无数据,2023-09-13,商品房,普通住宅,暂无数据,非共有,有抵押 90万元 公积金,挂牌时间:2023-09-13 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 90万元 公积金 | 房本备件:未上传房本照片,客厅 / 27.42平米 / 无 / 未知窗户类型 ; 卧室A / 18.62平米 / 西 东 / 落地窗 ; 卧室B / 7.81平米 / 无 / 未知窗户类型 ; 卧室C / 6.11平米 / 无 / 未知窗户类型 ; 厨房 / 4.58平米 / 西 / 普通窗 ; 卫生间A / 3.2平米 / 东 / 落地窗 ; 卫生间B / 4.43平米 / 东 / 落地窗 ; 阳台 / 5.48平米 / 西 北 / 普通窗,
保养很好，拎包入住，花园安静位置，满五唯一163平,"招商观园 , 观澜",1室1厅,75.62平米,南 北,,中楼层(共18层),2012年,塔楼,340 万,44962 元,0,,,VR看装修 | 房本满五年,https://sz.lianjia.com/ershoufang/105115781068.html,VR看装修 | 房本满五年,保养很好，拎包入住，花园安静位置，满五唯一随时可看,招商观园地块位于深圳市宝安区观澜街道环观南路北侧，与观澜高新技术园区隔路相望，邻进梅观高速、机荷高速，占地147595.156平方米，招商观园2期将近期推出全新升级力作中.央园林湖景单位，主力产品为140-180㎡大户型和少量90平,医疗龙华医院（4600米百度地图测距龙华综合医院在建中3100米百度地图测距新科技园社区健康服务，购物宝利商场楼下佳又惠百货医院天虹（2400米百度地图测距,招商观园在环观南路(即观天大道)以北，梅观高速以东；邻梅观高速（已于2014年4月1日取消高速收费）、机荷高速，较近的公交站是观澜高新科技园、宝安高新技术园站，经过的路线有E4、772等。有轨电车高新科技园西站，高新园站，出行方便,,,2013-07-16,2024-01-05,商品房,普通住宅,满五年,非共有,无抵押,挂牌时间:2024-01-05 | 交易权属:商品房 | 上次交易:2013-07-16 | 房屋用途:普通住宅 | 房屋年限:满五年 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:已上传房本照片,卧室 / 22.14平米 / 无 / 未知窗户类型 ; 卫生间 / 7.81平米 / 北 / 落地窗,
刚需好房，中森公园华府89平3房诚意出售，忍痛割爱,"中森公园华府 , 观澜",3室1厅,88.63平米,东南,精装,低楼层(共30层),2020年,板塔结合,350 万,39491 元,7,,,VR看装修,https://sz.lianjia.com/ershoufang/105115792961.html,VR看装修,次新房，户型方正，小区环境好，带公园,开发商为深圳中森，是以房地产为产业的企业，主要以珠三角地区和成渝地区为发展区域。 在深圳有几个住宅地产项目，为人熟知的应该是科技园片区华润城邻居的英伦名苑1-3期，以及龙岗的中森双子座。,项目位于龙华区观澜板块，观湖街道的东南方位。所在区域是深圳中轴北的产业，南接坂田天安云谷、龙华宝能科技城，东连平湖金融与现代服务业基地，西临观澜高新产业园， 北为观澜传统制造业聚集地带。项目西侧约1.6公里处为鹭湖科技文化片区，,距有轨电车1公里，接驳地铁：中森白鸽湖老村，位于环观南路，项目距离龙华有轨电车2号线的终点站下围站约1公里步行距离（百度地图测量，仅供参考），通过有轨电车接入深圳地铁轨道交通网络，目前已在地铁4号线清湖站接通，待2020年底4号线北延段开通后..,,,暂无数据,2024-01-06,商品房,普通住宅,暂无数据,非共有,有抵押,挂牌时间:2024-01-06 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 | 房本备件:未上传房本照片,客厅 / 24.72平米 / 西南 / 普通窗 ; 卧室A / 12.77平米 / 无 / 未知窗户类型 ; 卧室B / 8.91平米 / 西南 / 落地窗 ; 卧室C / 6.38平米 / 无 / 未知窗户类型 ; 厨房 / 5.92平米 / 东南 / 普通窗 ; 卫生间A / 3.64平米 / 东南 / 普通窗 ; 卫生间B / 3.38平米 / 无 / 无窗 ; 阳台 / 4.76平米 / 西南 东南 / 普通窗 ; 过道 / 3.14平米 / 无 / 无窗,
陶润懿峰 方正四房 业主自住装修保养好,"陶润懿峰 , 观澜",4室2厅,89.12平米,南,,中楼层(共32层),2016年,板楼,360 万,40395 元,2,,,近地铁 | VR房源,https://sz.lianjia.com/ershoufang/105118615272.html,地铁 | VR房源,高楼层采光通风好，视野开阔无遮挡,2017年2月1日精装交楼，小区很新。观澜河湿地公园就在小区旁边，车库出入口有新建一个公园环境优美，居民都喜欢在河边散步。龙华区政府就在小区北面,观澜天虹 ，福城天虹 医院：观澜人民医院 邮局：中国邮政大和支局 银行：中国银行、工商银行、招商银行、农业银行、建设银行 其他：人民公园、新世纪广场。,小区门口就有公交站，途径的公交线众多，有轨电车在小区门口文澜站，直接到达清湖地铁口，观澜大桥直接可以上机荷高速，多条公交线路到达罗湖，福田,,,暂无数据,2024-10-17,商品房,普通住宅,暂无数据,非共有,有抵押,挂牌时间:2024-10-17 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 | 房本备件:未上传房本照片,客厅 / 21.03平米 / 西南 / 普通窗 ; 卧室A / 6.57平米 / 西南 / 落地窗 ; 卧室B / 8.21平米 / 无 / 未知窗户类型 ; 卧室C / 11.41平米 / 西南 / 落地窗 ; 卧室D / 4.92平米 / 无 / 未知窗户类型 ; 厨房 / 3.69平米 / 东北 / 普通窗 ; 卫生间 / 6.37平米 / 东北 / 普通窗 ; 阳台 / 2.19平米 / 西南 / 普通窗 ; 过道 / 4.6平米 / 无 / 无窗,
澜园中高楼层，小户型业主诚心卖,"招商澜园 , 观澜",2室1厅,52.12平米,南,,中楼层(共25层),2010年,板塔结合,228 万,43746 元,1,,,VR房源,https://sz.lianjia.com/ershoufang/105116450165.html,VR房源,满五不唯一，中高楼层采光视野都不错，装修保养好，欢迎约看,本小区车位充足，人车分流，花园大配备儿童幼儿园，运动健身设施，阳光草坪等绿意盎然，24小时安保服务，舒适宜居，旁边就是观澜河湿地公园。,,,,,暂无数据,2024-03-23,商品房,普通住宅,暂无数据,非共有,有抵押 客户偿还,挂牌时间:2024-03-23 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 客户偿还 | 房本备件:未上传房本照片,客厅 / 11.89平米 / 南 / 普通窗 ; 卧室A / 14.59平米 / 南 / 落地窗 ; 卧室B / 6.4平米 / 无 / 无窗 ; 厨房 / 6.8平米 / 南 / 落地窗 ; 卫生间 / 2.94平米 / 南 / 普通窗,
精装三房，正南向，看花园全景，满五唯一，拎包入水。,"金地鹭湖1号 , 观澜",3室2厅,88.94平米,南,,高楼层(共16层),2015年,塔楼,373 万,41939 元,13,,,VR看装修 | 随时看房,https://sz.lianjia.com/ershoufang/105113170664.html,VR看装修 | 随时看房,精装三房，正南向，无遮挡视野开阔，满五唯一税费少。,金地鹭湖1号，位于龙华区观澜街道梅观高速与环观南路交汇处。 鹭湖国际住区项目，主打户型产品：建面89平3房2卫。还有少量137平4房2卫，及190平复式。 项目占地面积约91197.68平方米，总建筑面积约164150平方米。,,轨道交通：有轨电车站台，高新园西站（电车接驳地铁4号线清湖地铁口），公交线路：公交（观澜高新园站）M567、M264、313、E4路等，高速公路：机荷高速公路、梅观高速公路，交通方便。,,,暂无数据,2023-03-28,商品房,普通住宅,暂无数据,非共有,有抵押 330万元,挂牌时间:2023-03-28 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 330万元 | 房本备件:未上传房本照片,客厅 / 26.71平米 / 南 / 普通窗 ; 卧室A / 9.68平米 / 南 / 普通窗 ; 卧室B / 7.72平米 / 无 / 未知窗户类型 ; 卧室C / 12.67平米 / 无 / 未知窗户类型 ; 厨房 / 5.06平米 / 南 / 普通窗 ; 卫生间A / 3.23平米 / 东 / 普通窗 ; 卫生间B / 3.12平米 / 西 / 普通窗 ; 阳台 / 3.46平米 / 西 南 / 普通窗,
宁静宜居，私享小院，懿花园精装复式,"懿花园 , 观澜",3室2厅,89平米,东南,精装,低楼层(共10层),2014年,板楼,500 万,56180 元,2,,,VR房源 | 房本满五年,https://sz.lianjia.com/ershoufang/105116904554.html,VR房源 | 房本满五年,此房满五年唯一 居家精装 复式洋房 带小院,和黄懿花园也叫盈峰翠邸，由和记黄埔地产(深圳)有限公司开发，位于横坑水库。项目规划为地上建筑4-10层，地下2层，共59栋建筑(其中57栋住宅，2所幼儿园，及公建以地下室形式布置于地块南端)。 机动车位：600个；高层地库车位385个，多层地库车位200个,,公交（宝安高新科技园、观澜高新科技园）794、331、517、286、E4路等，出小区就是有轨电车站台，高速公路：机荷高速公路、梅观高速公路，交通方便。,,,2008-01-01,2024-05-06,商品房,普通住宅,满五年,非共有,有抵押,挂牌时间:2024-05-06 | 交易权属:商品房 | 上次交易:2008-01-01 | 房屋用途:普通住宅 | 房屋年限:满五年 | 产权所属:非共有 | 抵押信息:有抵押 | 房本备件:已上传房本照片,客厅 / 24.16平米 / 无 / 落地窗 ; 书房 / 6.85平米 / 无 / 落地窗 ; 卧室A / 9.41平米 / 无 / 落地窗 ; 卧室B / 6.59平米 / 无 / 落地窗 ; 卧室C / 14.88平米 / 无 / 落地窗 ; 厨房 / 4.59平米 / 无 / 无窗 ; 卫生间A / 3.33平米 / 无 / 无窗 ; 卫生间B / 4.19平米 / 无 / 无窗 ; 阳台 / 1.97平米 / 无 / 落地窗 ; 储物间 / 5.94平米 / 无 / 落地窗 ; 过道 / 4.74平米 / 无 / 普通窗,
万科九龙山 4室1厅 南,"万科九龙山 , 观澜",4室1厅,124平米,南,,低楼层(共33层),2016年,板楼,530 万,42742 元,0,,25天以前发布,VR房源,https://sz.lianjia.com/ershoufang/105122107779.html,VR房源,,,,,,,暂无数据,2025-09-12,商品房,普通住宅,暂无数据,非共有,无抵押,挂牌时间:2025-09-12 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:未上传房本照片,客厅 / 31.59平米 / 东南 / 普通窗 ; 卧室A / 10.1平米 / 无 / 未知窗户类型 ; 卧室B / 9.38平米 / 无 / 未知窗户类型 ; 卧室C / 8.73平米 / 无 / 未知窗户类型 ; 卧室D / 15.64平米 / 东北 东南 / 落地窗 ; 厨房 / 5.82平米 / 无 / 未知窗户类型 ; 卫生间A / 3.16平米 / 西北 / 普通窗 ; 卫生间B / 4.16平米 / 西北 / 普通窗 ; 阳台 / 8.98平米 / 东北 东南 / 普通窗 ; 过道 / 2.7平米 / 无 / 无窗 ; 门厅 / 2.92平米 / 无 / 无窗,
高楼层 视野开阔 满五税少 价格好谈 看房方便,"金地鹭湖1号 , 观澜",3室2厅,88.73平米,东北,精装,高楼层(共16层),2015年,塔楼,403 万,45419 元,0,,,VR房源 | 随时看房,https://sz.lianjia.com/ershoufang/105116440595.html,VR房源 | 随时看房,户型好  精装三房   满五年  红本,鹭湖1号位于龙华区观澜街道梅观高速与环观南路交汇处;鹭湖国际住区项目主打户型产品：建面89㎡三房。 项目占地面积约91197.68平方米，总建筑面积约164150平方米。,,多维立体城市干道:环观南路直通平湖，梅观高速直达福田，北通东莞，沈海高速连接深圳前海以及东部坪山以及惠州，潮汕。 龙华有轨电车无缝接驳地铁4号线清湖站。,,,暂无数据,2024-03-22,商品房,普通住宅,暂无数据,非共有,有抵押 300万元,挂牌时间:2024-03-22 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 300万元 | 房本备件:未上传房本照片,客厅 / 25.75平米 / 南 / 落地窗 ; 卧室A / 12.96平米 / 无 / 未知窗户类型 ; 卧室B / 8.78平米 / 无 / 未知窗户类型 ; 卧室C / 10.6平米 / 南 / 落地窗 ; 厨房 / 3.49平米 / 东 / 普通窗 ; 卫生间A / 3.23平米 / 东 / 普通窗 ; 卫生间B / 4.48平米 / 北 / 普通窗 ; 阳台 / 3.84平米 / 南 / 落地窗 ; 过道 / 3.15平米 / 无 / 无窗,
南北通透，享大阳台，一楼花园房，四房双卫,"格澜郡二期 , 观澜",4室2厅,95.8平米,南 北,精装,低楼层(共18层),2007年,板塔结合,514 万,53654 元,0,,,近地铁 | VR房源,https://sz.lianjia.com/ershoufang/105116263829.html,地铁 | VR房源,不满五年，四房两卫，有欠款。带80平花园。,小区由中航开发，由30多栋小高层住宅组成，主力户型为70平至140平三房和143平至175平四房。,大和世纪广场，观澜河湿地走廊，观澜天虹商场，格澜郡步行街，福城天虹商场，格兰云天酒店,有轨电车世纪广场站，地铁茜坑站，公交车观澜天虹站，格澜郡站，沈海高速龙华北入口，梅观高速观澜入口,,,暂无数据,2024-03-06,商品房,普通住宅,暂无数据,非共有,有抵押 290万元,挂牌时间:2024-03-06 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 290万元 | 房本备件:未上传房本照片,客厅 / 30.48平米 / 北 南 / 落地窗 ; 卧室A / 9.07平米 / 东 南 / 落地窗 ; 卧室B / 12.89平米 / 无 / 未知窗户类型 ; 卧室C / 10.62平米 / 无 / 未知窗户类型 ; 卧室D / 8.64平米 / 无 / 未知窗户类型 ; 厨房 / 5.58平米 / 无 / 无窗 ; 卫生间A / 3.26平米 / 西北 / 落地窗 ; 卫生间B / 3.44平米 / 南 / 落地窗 ; 阳台 / 7.68平米 / 东 南 / 落地窗 ; 储物间 / 4.46平米 / 无 / 无窗 ; 过道 / 2.33平米 / 无 / 无窗 ; 门厅 / 6平米 / 无 / 无窗,
高楼层，精装修，保养好，红本在手，,"观澜湖 , 观澜",2室1厅,106平米,西北,,中楼层(共11层),,板楼,230 万,21699 元,2,,,VR房源,https://sz.lianjia.com/ershoufang/105121732862.html,VR房源,观澜湖精装修住宅一线高尔夫景观满五年保养好,"观澜湖已经形成国际高尔夫别墅住区，把背景相同、事业有成的人士聚集在一起，创	
造出生活与事业的平台。在10多平方公里的绿色王国上，建筑覆盖率不到1%，属于纯粹的高尔夫球场中/央物业，完全被球道环/绕，从住宅的任何一个角度，都可以观赏到绿色的景观。","小区南门50亿观澜湖新城，观澜湖生态体育公园，观澜天虹商场，兴万达商场等，龙	
华人民医/院，塘厦人民医/院，小区内有会所/游泳池/健身房/高尔夫业主练习场/穿梭巴士等免费使用。",,,,暂无数据,2025-08-09,商品房,普通住宅,暂无数据,非共有,无抵押,挂牌时间:2025-08-09 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:未上传房本照片,客厅 / 34.71平米 / 北 / 落地窗 ; 卧室A / 12平米 / 北 / 普通窗 ; 卧室B / 8.44平米 / 南 / 普通窗 ; 厨房 / 4.76平米 / 南 / 普通窗 ; 卫生间A / 4平米 / 南 / 落地窗 ; 卫生间B / 3.31平米 / 无 / 无窗 ; 阳台A / 12.4平米 / 西 北 东 南 / 普通窗 ; 阳台B / 2.1平米 / 南 / 普通窗 ; 阳台C / 2.61平米 / 西 东 南 / 普通窗,
大大大院子 买三房得六房 朝南精装,"招商观园 , 观澜",3室2厅,88.73平米,西南,精装,低楼层(共18层),2012年,塔楼,620 万,69875 元,1,,,VR看装修,https://sz.lianjia.com/ershoufang/105120319616.html,VR看装修,税费各付，大院子，买三房得六房,招商观园地块位于深圳市宝安区观澜街道环观南路北侧，与观澜高新技术园区隔路相望，邻进梅观高速、机荷高速，占地147595.156平方米，招商观园2期将近期推出全新升级力作中.央园林湖景单位，主力产品为140-180㎡大户型和少量89平,,公交线路：公交（观澜高新园站）M567、M264、313、E4路等，出小区约50米 有轨电车站台（电车接驳地铁4号线清湖地铁口），高速公路：机荷高速公路、梅观高速公路，交通方便。,,,暂无数据,2025-04-07,商品房,普通住宅,暂无数据,非共有,无抵押,挂牌时间:2025-04-07 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:未上传房本照片,客厅 / 32.24平米 / 南 / 落地窗 ; 书房 / 5.63平米 / 无 / 无窗 ; 卧室A / 6.8平米 / 无 / 无窗 ; 卧室B / 15.49平米 / 无 / 无窗 ; 卧室C / 8.41平米 / 无 / 未知窗户类型 ; 厨房 / 5.62平米 / 无 / 无窗 ; 卫A / 2.65平米 / 西 / 普通窗 ; 卫生间B / 3.22平米 / 南 / 普通窗 ; 储物间 / 2.24平米 / 无 / 无窗 ; 过道 / 3.29平米 / 无 / 无窗,
格澜郡经典户型、满五税少、也在诚心出,"格澜郡二期 , 观澜",4室2厅,145.55平米,南 北,精装,低楼层(共18层),2007年,板塔结合,550 万,37788 元,0,,,近地铁 | VR看装修,https://sz.lianjia.com/ershoufang/105121771538.html,地铁 | VR看装修,满五税少、业主诚心出、中间好楼层、使用率高,中航格澜郡位于深圳龙华新区观澜，东临大和路，西临沿河路，南起环观南路，北至工业大道。其北面即为观澜世纪广场与文化艺术场所，与观澜街道办仅一河之隔，可谓是尊贵地段，尽享观澜政治、文化、商 业的优势。整个小区为苏格兰风情大社区。,综合商场：天虹商场、福城天虹、民乐福购物场所 医院：观澜人民医院 邮局：观澜邮局 银行：农业银行，浦发银行，建设银行，中国工商银行 其他：文化艺术场所、体育活动场所,"深圳中航格澜郡公交站，途径中航格澜郡公交站的有B652路、B693路、M264路等6条公交线路.深圳中航格澜郡有7个公交站,分别是大和路口(157米),安佳工业园(193米),观澜天虹商场(419米),富士施乐(470米),格兰云天酒店(569米)等。另轻轨已经开通，出行更加方便。",,,暂无数据,2025-08-13,商品房,普通住宅,暂无数据,非共有,无抵押,挂牌时间:2025-08-13 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:未上传房本照片,,
满五唯一，红本在手。高实用率，楼层好，视野好！,"阳基御龙山 , 观澜",3室2厅,78.2平米,东南,精装,31层,2018年,板塔结合,260 万,33249 元,3,,,VR看装修,https://sz.lianjia.com/ershoufang/105121176110.html,VR看装修,满五唯一，红本在手。高实用率，楼层好，视野好！,小区围合式布局，范围大，绿化面积大，有幼儿园、游泳池等居住配套，旁边有绿道及小公园，饭后散步无需走远。,九龙山体育公园步行500米，龙华医院约800米，到地铁4号线长湖站约500米。龙华第三外国语和福城实验均在500米距离左右。,,,,暂无数据,2025-06-22,商品房,普通住宅,暂无数据,非共有,无抵押,挂牌时间:2025-06-22 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:未上传房本照片,,
视野开阔，花园心静谧，舒适安家,"招商观园 , 观澜",3室2厅,88.9平米,南,精装,中楼层(共18层),2012年,塔楼,385 万,43308 元,2,,,VR房源,https://sz.lianjia.com/ershoufang/105116462128.html,VR房源,花园中间位置，安静舒适，视野好,招商观园位于龙华区观澜街道环观南路北侧(观澜高新科技园站旁），是由深圳招商房地产有限公司规划、开发的小区，规划面积147595平方米，建筑面积222221平方米，小区由别墅 多层 小高层组成，容 积率1.5，居住舒适,龙华医院（4600米百度地图测距龙华综合医院在建中3100米百度地图测距新科技园社区健康服务购物商场楼下佳又惠百货医院天虹（2400米百度地图测距,,,,暂无数据,2024-03-24,商品房,普通住宅,暂无数据,非共有,有抵押 210万元 中国银行 客户偿还,挂牌时间:2024-03-24 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 210万元 中国银行 客户偿还 | 房本备件:未上传房本照片,客厅 / 26.28平米 / 东南 / 普通窗 ; 卧室A / 17.81平米 / 无 / 未知窗户类型 ; 卧室B / 9.68平米 / 西南 / 落地窗 ; 卧室C / 10.8平米 / 无 / 未知窗户类型 ; 厨房 / 3.83平米 / 无 / 无窗 ; 卫生间 / 3.69平米 / 无 / 无窗 ; 阳台 / 4.85平米 / 东南 / 普通窗 ; 门厅 / 9.14平米 / 西南 / 落地窗,
